Date,SARIMA_Forecast,Actual_Orders,HW_Forecast
2024-10-01,6968.104188483806,4968,7003.605425879952
2024-10-02,7977.654535021434,5300,7958.6716798071975
2024-10-03,9944.054955655618,5973,9807.32829465424
2024-10-04,10923.107554404256,7646,10721.847193552438
2024-10-05,14885.396396162892,8342,14662.057048674145
2024-10-06,13955.6255693583,11168,13856.793271508814
2024-10-07,4975.172633446218,10680,5043.800320078101
2024-10-08,6981.199528215637,3766,7041.730390173627
2024-10-09,8025.101126352279,5288,7996.796644100872
2024-10-10,9980.763128261267,5990,9845.453258947915
2024-10-11,10953.860996464602,7717,10759.972157846112
2024-10-12,14848.144722925013,8350,14700.182012967818
2024-10-13,13909.539397975057,11224,13894.918235802485
2024-10-14,4979.618626776755,10590,5081.925284371774
2024-10-15,6983.791883141884,3872,7079.855354467301
2024-10-16,8016.942159593924,5338,8034.921608394547
2024-10-17,9975.965104492529,6220,9883.57822324159
2024-10-18,10950.926700916145,7572,10798.097122139787
2024-10-19,14866.494839652638,8335,14738.306977261493
2024-10-20,13930.654558268494,11494,13933.04320009616
2024-10-21,4984.918103297683,10805,5120.050248665449
2024-10-22,6989.671516078922,3906,7117.980318760974
2024-10-23,8026.186768196224,5489,8073.046572688219
2024-10-24,9984.157796718539,6264,9921.703187535262
2024-10-25,10958.536078803609,7597,10836.222086433461
2024-10-26,14867.442568733079,8541,14776.431941555167
2024-10-27,13930.7368770697,11534,13971.168164389834
2024-10-28,4989.950454524995,10708,5158.175212959123
2024-10-29,6994.522288494136,3887,7156.105283054649
2024-10-30,8029.984362077039,5339,8111.171536981894
2024-10-31,9988.284622028552,6306,9959.828151828937
2024-11-01,10962.845471300216,7817,10874.347050727134
2024-11-02,14873.836940803149,6928,14814.55690584884
2024-11-03,13937.402107422327,9492,14009.293128683508
2024-11-04,4995.0664112975555,8679,5196.300177252798
2024-11-05,6999.695076259319,3077,7194.230247348323
2024-11-06,8035.486776304834,4332,8149.2965012755685
2024-11-07,9993.683992576814,5067,9997.953116122611
2024-11-08,10968.187701511924,6281,10912.472015020809
2024-11-09,14878.526608871807,6788,14852.681870142515
2024-11-10,13942.007001585487,9435,14047.418092977183
2024-11-11,5000.156200996598,8801,5234.4251415464705
2024-11-12,7004.767078851568,3121,7232.355211641996
2024-11-13,8040.455611579002,4328,8187.421465569241
2024-11-14,9998.685078720584,5063,10036.078080416286
2024-11-15,10973.206671581733,6339,10950.596979314483
2024-11-16,14883.74981947997,6854,14890.80683443619
2024-11-17,13947.25674494349,9364,14085.543057270857
2024-11-18,5005.254180532031,8873,5272.550105840145
2024-11-19,7009.870625440353,3180,7270.480175935671
2024-11-20,8045.591447734091,4428,8225.546429862916
2024-11-21,10003.810820917512,5090,10074.203044709959
2024-11-22,10978.326816422576,6360,10988.721943608156
2024-11-23,14888.806040604195,6919,14928.931798729862
2024-11-24,13952.304661781036,9661,14123.668021564532
2024-11-25,5010.349596791899,8802,5310.67507013382
2024-11-26,7014.964299309883,3147,7308.605140229345
2024-11-27,8050.675015534069,4410,8263.67139415659
2024-11-28,10008.897547949864,5114,10112.328009003633
2024-11-29,10983.415295329492,6273,11026.84690790183
2024-11-30,14893.914526516475,7145,14967.056763023536
2024-12-01,13957.415746789817,9488,14161.792985858203
2024-12-02,5015.445815312192,7541,5348.800034427492
2024-12-03,7020.06106316788,2653,7346.73010452302
2024-12-04,8055.774942415094,3755,8301.796358450265
2024-12-05,10013.996486046406,4355,10150.452973297308
2024-12-06,10988.513685119931,5288,11064.971872195505
2024-12-07,14899.00665446413,5971,15005.181727317211
2024-12-08,13962.507061265722,7957,14199.917950151877
2024-12-09,5020.541782738999,7551,5386.924998721167
2024-12-10,7025.156859913523,2704,7384.855068816692
2024-12-11,8060.869749189846,3801,8339.921322743938
2024-12-12,10019.091602293409,4285,10188.57793759098
2024-12-13,10993.608972977154,5409,11103.096836489178
2024-12-14,14904.103902168634,5852,15043.306691610886
2024-12-15,13967.604563572657,8119,14238.042914445552
2024-12-16,5025.637828753675,7508,5425.0499630148415
2024-12-17,7030.252959348418,2689,7422.980033110367
2024-12-18,8065.966158468316,3806,8378.046287037612
2024-12-19,10024.187914712478,4401,10226.702901884655
2024-12-20,10998.705231685228,5454,11141.221800782852
2024-12-21,14909.199547478784,6005,15081.431655904558
2024-12-22,13972.700129196697,8074,14276.167878739227
2024-12-23,5030.733850171724,7636,5463.174927308516
2024-12-24,7035.348964046873,2715,7461.104997404042
2024-12-25,8071.062066191153,3838,8416.171251331287
2024-12-26,10029.283852750614,4406,10264.82786617833
2024-12-27,11003.801186533965,5436,11179.346765076527
2024-12-28,14914.295694310345,5947,15119.556620198233
2024-12-29,13977.796300968617,8189,14314.292843032901
2024-12-30,5035.829879288092,7773,5501.299891602189
2024-12-31,7040.444998396181,2762,7499.229961697714
